run,indices,signs,weights,results
22,"[4853, 4576, 8307, 6057, 1658, 8072, 9740, 78, 1401, 2727]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.0994948599244652, 1.213719933800676, 1.329935646444355, 1.4641017948684272, 1.605978510579406, 1.7659120916807254, 1.937915825059546, 2.061781712091437, -2.1468567991578436, -2.2615738239150893]"
23,"[842, 9701, 4519, 3237, 1210, 2754, 4967, 2184, 9396, 5440]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.1021436104179814, 1.1982553687608177, 1.2623704603458894, 1.3734509407372149, 1.4582686565999998, 1.4691876682323606, 1.4818503142923949, 1.5130232425488517, -1.6317569232438933, -1.6353898875716404]"
24,"[4048, 1029, 8724, 2065, 7167, 1738, 8215, 3723, 266, 9929]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1054661554429974, -1.222055420829921, -1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, -1.1015246640559462, -1.2068178430737857, -1.2959775997629692, -1.410038292487791, -1.5040154390814793, -1.614295655085697, -1.6606179333929671, -1.8212269209277674, -1.9133784751163987, -2.030299658101435]"
25,"[717, 8897, 3354, 5809, 6768, 4873, 9803, 9120, 3900, 8207]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, -1.222055420829921, -1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.1041417676622647, -1.2182574948579736, -1.3352013267160954, -1.4242468163539335, -1.55140372921833, -1.63062096071758, -1.6741203736804728, -1.8122046727864645, -1.8629162610827699, -1.9166651560376007]"
26,"[5866, 7918, 827, 2219, 4866, 5902, 9836, 8864, 6095, 6077]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.09882186736461, 1.195079809891627, 1.3032639455043067, 1.4151398136056415, 1.5191953775711968, 1.6346175044519882, 1.7708147093699884, -1.8726484374059904, -1.9565227728383328, -2.0016823386442577]"
27,"[1388, 5062, 2773, 9570, 1874, 5585, 6657, 2542, 3487, 9396]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, -2.725552231681011]","[1, 1.1034775794472584, 1.2133387737097137, 1.3316784712210126, 1.4666102857248002, 1.6082611430702696, 1.7591246001868566, 1.901835855382297, 2.03564603045672, 2.1580538443990287, -2.3426758725404744]"
28,"[5269, 2568, 1661, 6323, 8255, 5830, 3822, 8437, 4580, 4343]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1054661554429974, -1.222055420829921, -1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, -1.1014738833640039, -1.2025071574127395, -1.322961464499734, -1.4212454030396504, -1.494688758070088, -1.6172798067255374, -1.6910225252476547, -1.7458147629876253, -1.8451335065557601, -1.7908914101754823]"
29,"[5328, 2792, 8104, 8678, 8825, 2343, 1205, 5714, 7748, 3376]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, -1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.0994694231834856, 1.2067388071501868, -1.3019188860459316, -1.4451588950795051, -1.537513598590327, -1.7078753247429066, -1.8688717662950978, -2.0220297281063133, -2.133212302617806, -2.2577872805557653]"
30,"[7663, 1938, 3574, 9814, 1933, 4316, 1372, 9591, 4360, 4034]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.1021404140945439, 1.2161696444559793, 1.323344402556977, 1.4500377169313394, 1.5850087108234416, 1.6535229028825258, 1.72867610979831, -0.35337861577450796, -0.5235506798466373, -0.6905111974127631]"
31,"[5699, 9291, 8921, 9518, 9843, 8844, 7884, 2588, 7451, 7530]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.0988250694679307, 1.2037596034914542, 1.3085324253276054, 1.411844817540466, 1.5446143859014823, 1.7054107005311254, 1.8349942779154391, 1.8901716149852004, 1.9867665609206338, 2.081632502676703]"
