run,indices,signs,weights,results
36,"[261, 101, 111, 363, 651, 749, 404, 144, 254, 79]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.96389966764406, 0.8974142623472551, 0.8073579147615386, 0.7077915645424935, 0.6068689767160995, 0.5194437211388877, 0.44331331842707433, 0.4039762934141588, 0.38347094634837253, 0.3873965364093333]"
37,"[597, 404, 246, 158, 799, 151, 355, 476, 533, 173]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9638097892229072, 0.8927144866667183, 0.7990496475997477, 0.6955725288473155, 0.5975239388693944, 0.5058007358140142, 0.4416845211966678, 0.40940365273337914, 0.3917669615013889, 0.3838255323038877]"
38,"[738, 134, 871, 77, 807, 925, 405, 0, 296, 423]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9629489400001062, 0.8952404785137335, 0.8101524133011869, 0.7100470566627883, 0.6081665021052595, 0.5255738432357863, 0.4581032991829374, 0.41765271042590935, 0.40562078861285256, 0.39466097314597576]"
39,"[735, 643, 219, 962, 824, 54, 922, 124, 352, 980]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9629576483639293, 0.895576460694168, 0.7963822528540693, 0.6920412418283833, 0.5902085762591313, 0.4969680841086667, 0.4317378501415331, 0.3910478947107634, 0.37901103859277635, 0.3776648027023696]"
40,"[250, 392, 330, 980, 643, 970, 278, 183, 990, 597]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9650957769866233, 0.8962933665505367, 0.804900319805667, 0.6935775464660796, 0.5926568320886467, 0.5044231207074609, 0.44223702922199404, 0.40462213692096466, 0.38700255193386623, 0.3936615488960249]"
41,"[434, 668, 698, 623, 491, 884, 91, 284, 220, 570]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9657273197699614, 0.8950190770283104, 0.802448821709619, 0.6999551657984922, 0.6005112824997477, 0.5047965540963735, 0.4348027349413065, 0.3954836737046287, 0.37084705787730426, 0.37902750940538027]"
42,"[124, 380, 360, 663, 326, 392, 944, 538, 769, 686]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9633804917687997, 0.8924946989780619, 0.8011525565887877, 0.7015469840775452, 0.5993497363553489, 0.504901868384052, 0.4320759418880036, 0.3918771861820567, 0.38218499963259, 0.3877391772869257]"
43,"[155, 934, 286, 122, 157, 212, 536, 377, 12, 474]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9638101971352989, 0.8929890406760204, 0.8034340833283371, 0.7009770589777848, 0.6044640677236113, 0.5140397902505575, 0.4407545641701601, 0.3933644405988807, 0.37631263508374596, 0.3765514894502058]"
44,"[517, 632, 535, 0, 994, 691, 344, 483, 464, 681]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9638726770729504, 0.8959780974011656, 0.8008429186588478, 0.6957353440729491, 0.5784428099541948, 0.4846457033691848, 0.4161085442382068, 0.38018932496542057, 0.3680352859260826, 0.36219232137055]"
45,"[174, 562, 411, 175, 255, 290, 418, 621, 582, 516]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9642531754042238, 0.8959516253405541, 0.8024984671572213, 0.7006245793225663, 0.5898252782483421, 0.49733710730955505, 0.43256699242322444, 0.3955590188159423, 0.3758195219357035, 0.383822664131806]"
