run,indices,signs,results
535,"[9143, 9848, 7578, 8635, 4627, 8330, 1898, 1489, 4597, 993]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9940011289477605, 0.9914737552791715, 0.9792166027807403, 0.9715317933762959, 0.9529575231539218, 0.9479649179153853, 0.9351941875141366, 0.911324320423416, 0.885685116985087, 0.8570562942615281]"
536,"[9387, 580, 4395, 3532, 8086, 7045, 8650, 6569, 9670, 8761]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.998146574513129, 0.9883813693196226, 0.9755857220314139, 0.9483099490236682, 0.9332089368340819, 0.8845652160900666, 0.8492767940909132, 0.8181566205971771, 0.8216484769742967, 0.779980132431306]"
537,"[6680, 6867, 8878, 4536, 4186, 8161, 9776, 2798, 3433, 6577]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975938133880047, 0.9675591260778826, 0.9491157027626693, 0.9193419621812293, 0.8820219486170443, 0.8207299996786797, 0.7726857034130202, 0.7253817463829242, 0.7139559579408501, 0.6070526167276943]"
538,"[2345, 4370, 8348, 5378, 318, 4648, 2527, 5987, 7829, 9653]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9873860365329906, 0.9381518401396757, 0.8955671029798112, 0.8520532116079242, 0.8114934184139405, 0.7507775852903142, 0.6190894965610646, 0.5908797300396327, 0.5442727051598232, 0.5003361579667713]"
539,"[4020, 2148, 8018, 5032, 3073, 4517, 6436, 9887, 8197, 4249]","[1, 1, 1, 1, 1, -1, 1, 1, -1, 1]","[1.0, 0.9874087870483739, 0.9749935950394133, 0.9561572164462006, 0.9355630971117825, 0.9010198050608287, 0.8447717279565412, 0.8050854746462108, 0.7607005910441216, 0.6781712674130866, 0.5585989809510689]"
540,"[852, 3459, 8741, 4604, 1250, 6637, 3732, 9652, 5792, 4261]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975923633364566, 0.9934183327446071, 0.9805389643913476, 0.9462147566680279, 0.8856111561011177, 0.7979400843072609, 0.7682313983072436, 0.7074224984323179, 0.6619999932712889, 0.6027087262000456]"
541,"[57, 3937, 6930, 6081, 7462, 4664, 1347, 8567, 6269, 7258]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969973382047672, 0.9898470883632977, 0.9580135710341431, 0.9598408028726649, 0.9436072696566982, 0.8887791634762054, 0.8340661840284369, 0.8315304171734846, 0.8083053274444512, 0.7857994250223862]"
542,"[8435, 9010, 3633, 5027, 3671, 7278, 853, 7756, 824, 2864]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9844914656105966, 0.9826845599034262, 0.959387134060254, 0.9399929619972529, 0.9243193988453295, 0.900561722648325, 0.8510057142754498, 0.8431108351680732, 0.7841094516503406, 0.745656686621394]"
543,"[2201, 8980, 9946, 8737, 3805, 9985, 4326, 6719, 4764, 6]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9922094134214499, 0.9569409692598104, 0.936005502289863, 0.923363196610996, 0.8690274730287469, 0.825740433268634, 0.7691776890783848, 0.6495838809069617, 0.6073232045900493, 0.5745296426167107]"
544,"[7786, 8315, 6976, 905, 7398, 4993, 4406, 6938, 5943, 4934]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9951260469961505, 0.9795644192667115, 0.9641563460690405, 0.9253668462829212, 0.9081186860161401, 0.8699119868873804, 0.8151822648006684, 0.7550289313376042, 0.7042305721258794, 0.6942078847297187]"
545,"[3493, 9700, 9508, 6113, 5329, 6523, 2108, 31, 4886, 9884]","[1, -1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.9970290111489353, 0.994584069950486, 0.9891142675202501, 0.9720305620197845, 0.9453960790777051, 0.9117588907518974, 0.9081341120916184, 0.8538346129871035, 0.819936379559344, 0.7765174197482976]"
546,"[8102, 6720, 5179, 1845, 5394, 7902, 7366, 6301, 6011, 511]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963871662870005, 0.9855609958624529, 0.9567855322929119, 0.9239418266223577, 0.8945948405972992, 0.8129328340960422, 0.7737747126570725, 0.6826753142233313, 0.6417492500571256, 0.5946945876064896]"
547,"[5917, 8962, 2744, 3601, 4175, 4431, 7345, 217, 3720, 922]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987961816682414, 0.9963817973075257, 0.9945144847511528, 0.9908166153119167, 0.9743612315999975, 0.9446285331590313, 0.8999009264648996, 0.8332007731891702, 0.8148077588962256, 0.8099095495661773]"
548,"[1682, 4389, 41, 3748, 7033, 1266, 7586, 7397, 2615, 2702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969944398479439, 0.9761594305764654, 0.9686417016881119, 0.9156802081612405, 0.8757671244246483, 0.8600460172427583, 0.8194305132575872, 0.7714012903488991, 0.7235992354726658, 0.7065679419619552]"
549,"[4015, 742, 3454, 7385, 9552, 4258, 5044, 8030, 4282, 2890]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9874392319605273, 0.9729078612127362, 0.9597859072805237, 0.9610017302470144, 0.9252855244417368, 0.8913878543533463, 0.833137641269375, 0.7991048924534585, 0.7613778202878461, 0.696474611975743]"
550,"[4019, 8552, 8203, 8203, 9094, 4134, 3552, 3440, 1427, 8562]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.996400228490965, 0.9847811127604111, 0.9720138869392372, 0.9546783676569943, 0.9302258090484143, 0.9012163661340432, 0.8711158591381548, 0.8514256675888853, 0.7890148974781228, 0.7676644374189763]"
551,"[8914, 5377, 5967, 683, 8272, 4335, 6411, 8246, 3593, 4469]","[1, 1, 1, 1, 1, 1, -1, -1, 1, -1]","[1.0, 0.9946294735171153, 0.9830046982355002, 0.9768462196896777, 0.9537033124509363, 0.9302915210887366, 0.8997724980144151, 0.8793432575785435, 0.8478508694974648, 0.8040233061139125, 0.7509360243360479]"
552,"[5913, 3080, 1848, 2618, 3399, 3782, 4627, 6698, 3238, 2500]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9975923633356788, 0.9815336164952689, 0.9625425212516852, 0.9457897639715007, 0.9098303423015203, 0.8732320875569287, 0.8498116971303029, 0.8206343053038703, 0.7575220656330486, 0.6969778905150597]"
553,"[8393, 6446, 1888, 308, 5536, 1735, 1120, 2918, 1912, 8450]","[1, 1, 1, 1, -1, -1, 1, 1, 1, 1]","[1.0, 0.99877938801139, 0.9890373997525954, 0.9775644173154783, 0.9563093870836876, 0.9498124695487463, 0.9277044947851463, 0.8681309944120672, 0.7957694970526781, 0.7288069503593617, 0.6916418126201949]"
554,"[1180, 3151, 3437, 9652, 2054, 3281, 3415, 6447, 9225, 624]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.996988665811125, 0.9858956357867154, 0.9729134033475072, 0.9368372071922363, 0.9112051166836308, 0.8592717384440899, 0.8122153971274599, 0.8132653005418917, 0.7502650824273263, 0.6818724615411207]"
555,"[233, 5852, 76, 7376, 8484, 7863, 6806, 9961, 2568, 1128]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9982011460425663, 0.9873728648955118, 0.9671888906910813, 0.9615848245342504, 0.9420238969329287, 0.9146908716879179, 0.8904897062709198, 0.8480127969344851, 0.7898045711260377, 0.7651598983148078]"
556,"[1393, 7816, 7789, 1361, 9190, 4093, 1108, 5119, 5406, 6297]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939838658922795, 0.9874536383186945, 0.9813528093789331, 0.9547646643651388, 0.9187755315709927, 0.8790700685927764, 0.8479534554903367, 0.7733646052983395, 0.7200943166299595, 0.705637170671466]"
557,"[8361, 4845, 7437, 8353, 2927, 7634, 8176, 1010, 9144, 85]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9892221030170509, 0.9792239990771683, 0.9495844486190025, 0.9342705023914818, 0.9236749094680861, 0.9227778538708258, 0.9006188869763769, 0.8472414253095737, 0.8079127086976655, 0.7106574382901947]"
558,"[5882, 8027, 6124, 9053, 4390, 1622, 603, 322, 5971, 6031]","[1, 1, -1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9945241002619312, 0.98687209398492, 0.93961421158723, 0.9399466793930852, 0.8703521174059328, 0.7886473328151653, 0.7905770197926165, 0.6991326742455141, 0.6378220431442845, 0.527735106453907]"
559,"[1806, 9664, 3745, 3804, 9154, 6349, 9733, 7546, 9429, 8973]","[1, 1, -1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939637897212404, 0.9820339358364643, 0.9796101327452607, 0.967781234387127, 0.9431834369827086, 0.9291990840870443, 0.871139449946351, 0.846882062595235, 0.8133322851332332, 0.7856300798618965]"
560,"[5404, 4080, 8997, 7078, 4388, 1742, 3362, 2805, 4668, 224]","[1, 1, 1, 1, 1, 1, -1, 1, -1, 1]","[1.0, 0.9987788751297728, 0.9984953487043406, 0.9864217598629049, 0.973954093798115, 0.9534951059255965, 0.9073302528282066, 0.8875050342609001, 0.829166662601915, 0.7884098957612441, 0.7035427293614291]"
561,"[3445, 4085, 9464, 4153, 9329, 727, 3746, 241, 4984, 2443]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9951934199999164, 0.9730971891683464, 0.967888796774315, 0.9295692898885484, 0.8897377292590252, 0.8883318653446486, 0.8292403740276189, 0.6863990589154193, 0.6452541728642073, 0.5855403851969312]"
562,"[6895, 9029, 7710, 483, 1876, 2637, 4747, 8106, 2084, 609]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9897968704290698, 0.9701744707337968, 0.9593584611233955, 0.9569890025286962, 0.9525483385114641, 0.8997936782106462, 0.8650463310840324, 0.8211864946147095, 0.729873963638013, 0.6778809578946483]"
563,"[1218, 6238, 4966, 7178, 4624, 104, 3755, 2160, 8003, 6347]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9945998344470848, 0.9896721050778082, 0.9711965963007014, 0.9651939721918026, 0.9464903749721372, 0.8936875782784112, 0.8717483762238449, 0.8315682709084697, 0.8027717055650971, 0.756803690299815]"
564,"[2945, 9532, 9766, 3323, 4479, 221, 4099, 4617, 6983, 8067]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9898062717575196, 0.9696709224453144, 0.9597623766620353, 0.956720951921235, 0.9249034943759598, 0.888037820084979, 0.8333539808657875, 0.8197791362122684, 0.7691653701979434, 0.7051884373043198]"
565,"[6122, 1080, 7889, 4200, 7685, 5489, 1348, 9780, 3803, 9970]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969470076999188, 0.9708765284450929, 0.9627128845043499, 0.9598146279908593, 0.9606850398541931, 0.9449831876100279, 0.9318240829220739, 0.9181611497679645, 0.8966878252187639, 0.8594927062915136]"
566,"[6282, 9521, 2240, 8131, 4464, 7138, 9987, 5046, 9150, 8958]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9964058933119964, 0.991631408592103, 0.9846964858505722, 0.9585026097862563, 0.9496489902579839, 0.9293935063940106, 0.9032098854713155, 0.8621126900408735, 0.8210045533776016, 0.7534366370639043]"
567,"[5408, 4055, 5244, 4306, 968, 6214, 4559, 7933, 7329, 9861]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975923633360493, 0.9901752816474196, 0.9834725714172867, 0.9617641464313451, 0.9554355731192942, 0.9431070327583719, 0.9143194802527175, 0.8510860004259521, 0.8173785934188477, 0.776690324096581]"
568,"[8292, 4431, 8973, 307, 8328, 5799, 1288, 675, 9849, 6232]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969872296897513, 0.984900647899341, 0.9833181087119542, 0.915077668580399, 0.897355979661355, 0.8629707050806987, 0.8020743845368689, 0.7751564659837306, 0.7076441575763407, 0.678083234799254]"
569,"[7203, 3536, 2183, 2625, 7430, 59, 9049, 7544, 9034, 1770]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939579859893631, 0.9679352384024131, 0.9522814465615517, 0.8694537578923461, 0.8641405434711382, 0.8088432652466149, 0.7254215550683057, 0.7053191447859409, 0.6707305941942729, 0.6436529952924275]"
570,"[9249, 800, 6155, 1980, 4782, 9929, 751, 8018, 92, 961]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9933162263428215, 0.9355450827744926, 0.9226390366227518, 0.8830873954377166, 0.8711228582955115, 0.8476547177730392, 0.7980381430733459, 0.7460631021474122, 0.7268716884529491, 0.6894461694850132]"
571,"[4779, 33, 9228, 9839, 9147, 8451, 3915, 4870, 3104, 4522]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9892609378076771, 0.9797995038454339, 0.9486275322268514, 0.9133345167962885, 0.8475905473624845, 0.8316982297463966, 0.811958150532468, 0.7366032023710976, 0.6650133939398011, 0.6130681159372666]"
572,"[675, 74, 4596, 7457, 9125, 943, 4537, 3228, 3308, 9912]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993834949578666, 0.9791669626461544, 0.9351022754907669, 0.8829714848902176, 0.80437970867244, 0.7937259887915735, 0.7448482477066724, 0.6480119767136103, 0.5689840250298975, 0.495780330065095]"
573,"[3487, 7417, 579, 9020, 5637, 3970, 5267, 9415, 118, 3232]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9946357497785634, 0.9896666723540432, 0.9710449128750354, 0.9603767232926609, 0.9514861971088977, 0.9467619048557911, 0.9269863477843461, 0.8869026609478352, 0.8321158063968972, 0.7752632820568244]"
574,"[8494, 4973, 6926, 7900, 3000, 8996, 3546, 5150, 9557, 5687]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9970031830190799, 0.996347399167114, 0.9821926555733627, 0.9683257783338419, 0.9571286261692273, 0.9339972731083435, 0.8348732268151915, 0.8268942445848164, 0.780981816517462, 0.7029283306703479]"
575,"[6585, 4422, 9594, 1603, 2649, 278, 6756, 6823, 3646, 7485]","[1, -1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9969802753326685, 0.9838836638632473, 0.9577167487847111, 0.9088969809520917, 0.8613903823239801, 0.8347088595152585, 0.7633971788541866, 0.7425579795550747, 0.6906826494970558, 0.6508837102703043]"
576,"[5993, 9004, 4159, 7183, 6104, 1825, 4816, 5342, 391, 2963]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.997595223487542, 0.9933519526197307, 0.9921297737695226, 0.9856914143690338, 0.9716106527269475, 0.9607110063964723, 0.922793121909215, 0.9124834903459995, 0.8903790073086653, 0.8389765215350153]"
577,"[4723, 4011, 2793, 486, 8636, 8032, 7511, 4482, 2171, 3198]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9856380774748548, 0.9592736860159707, 0.9175014027254011, 0.9015124498537739, 0.8362228621444663, 0.798446811903295, 0.7189620873829611, 0.661547090328757, 0.5982622163347808, 0.5568241723030748]"
578,"[7260, 3872, 3258, 3657, 6220, 488, 7803, 2202, 267, 7884]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969944398454306, 0.9883034432991828, 0.9740275518888275, 0.9593471270380707, 0.9382256751164846, 0.9218460386676428, 0.8838406533723444, 0.8570129180710655, 0.8152695747527499, 0.7819441766054287]"
579,"[2745, 1276, 2463, 50, 8016, 2485, 6465, 1740, 7350, 6243]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.998175182692238, 0.9921877540794204, 0.9435428191092979, 0.9386714275779204, 0.9008180831842417, 0.8243483381669465, 0.7959048643997796, 0.7953967535420406, 0.6927197706639893, 0.654255660505378]"
580,"[3796, 1691, 5520, 6121, 7261, 5791, 1419, 6030, 5274, 4405]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9988017976848892, 0.9703382278321258, 0.9151893191004971, 0.8825580636525174, 0.8267461807009393, 0.8059721466286096, 0.7505613392201643, 0.7220197041898834, 0.6661343530200312, 0.635049749099364]"
581,"[3397, 3734, 7680, 1350, 8534, 2121, 5862, 3381, 2131, 2603]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9968702291041742, 0.9913962866953603, 0.9820824599793534, 0.960357244108935, 0.9488353938363435, 0.932735509075466, 0.9038874475480911, 0.8740751636423252, 0.8374545994931903, 0.7941955912306992]"
582,"[3244, 261, 6119, 7574, 4466, 1644, 9364, 9493, 727, 8756]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9933974661659812, 0.9845589059015176, 0.9773887579318412, 0.9761364928795097, 0.9676500616886986, 0.9442540280305233, 0.8955271316826323, 0.8635827688887606, 0.8552456454250232, 0.8210900185965779]"
583,"[7686, 1328, 3233, 2792, 8206, 3141, 7000, 1076, 6646, 756]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9945954930174795, 0.9774731530757774, 0.9705960713042796, 0.9520516396215837, 0.9092663326519188, 0.8696184974561336, 0.8321803174797897, 0.8275972257401006, 0.7772941494091303, 0.7168131470585142]"
584,"[4042, 3322, 7949, 3983, 8627, 2014, 4538, 2206, 2730, 4809]","[1, 1, -1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9946015306152598, 0.9939546209625776, 0.989493650396742, 0.9870106413414552, 0.9699578467971386, 0.9416396956825003, 0.9170460611133393, 0.8636726842996183, 0.7370727907124591, 0.6305847470900967]"
585,"[7663, 3687, 5985, 9074, 649, 7562, 1908, 1997, 6654, 8803]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.996991548468419, 0.9943799382509506, 0.9827006922281667, 0.9720408173038615, 0.9524927622493446, 0.9260010336836619, 0.9302762844888969, 0.9302762844891119, 0.9051504727024235, 0.8525260473900595]"
586,"[4616, 1271, 919, 141, 1188, 9140, 180, 9623, 3681, 6535]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9951946049648408, 0.9757418604534425, 0.952619797210565, 0.9463504360034867, 0.9228453665213145, 0.8736158723148826, 0.8603283659356056, 0.8292101905323461, 0.8023051879440719, 0.7401858743293406]"
587,"[9699, 8214, 8751, 4509, 4855, 9286, 8762, 5925, 1116, 8360]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9844361020582035, 0.9617810101366933, 0.9474737592619915, 0.9035053480298727, 0.865599489787732, 0.8515154021309514, 0.809288154152055, 0.7827968102443725, 0.6723075013754195, 0.5804894668757046]"
588,"[849, 4504, 470, 2203, 6938, 5, 6425, 2680, 336, 7928]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9969929915424833, 0.992211956138394, 0.9524518387860219, 0.9446380455269685, 0.907627282691233, 0.8312123780841303, 0.7774035455650383, 0.7249887527770921, 0.6842742771021421, 0.645684890406437]"
589,"[2182, 3206, 2173, 6671, 1948, 8657, 7295, 2982, 7590, 9473]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.999397728101193, 0.9987761962879743, 0.9932439403352931, 0.9827077594148483, 0.9702298110539649, 0.9193616557298148, 0.882333695603683, 0.8455138722593449, 0.7750963481928311, 0.7124429716333794]"
590,"[7517, 1198, 3915, 5141, 7816, 7393, 5680, 917, 3257, 8778]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9897779187256326, 0.9759564384912002, 0.9673618241874149, 0.9153546506736326, 0.9031271342958416, 0.8868398332414413, 0.8622737608390132, 0.8672835047004017, 0.7934562351541012, 0.7324015339341085]"
591,"[4094, 6651, 805, 1876, 7277, 2456, 1215, 3337, 5512, 6679]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9904200934897353, 0.9785291427448475, 0.9406913712047411, 0.9386088677368324, 0.8819340589377707, 0.8634713044811291, 0.8368351174853073, 0.787965070393648, 0.688794296615426, 0.6783712090901891]"
592,"[282, 7693, 3291, 9632, 9853, 3138, 5597, 2696, 5526, 5678]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9970260438425723, 0.993431929363599, 0.9731065595085375, 0.958933825283517, 0.9483215208114506, 0.9089018004418855, 0.8841440180949927, 0.8739783754749848, 0.841343011489815, 0.8128935080712105]"
593,"[9860, 2610, 908, 6030, 2421, 3927, 6806, 1633, 5457, 1203]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9939925017688598, 0.9848591740627026, 0.9412098647932077, 0.9269906287152646, 0.8973919494053625, 0.862512153672417, 0.8266079457825474, 0.8266079457811798, 0.7740222661268652, 0.7550814627571096]"
594,"[3387, 377, 6307, 675, 7834, 2799, 5272, 111, 3033, 8657]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9951977249430219, 0.9920841420480087, 0.9878791741557763, 0.985763011463562, 0.9756218743611695, 0.9570398556122056, 0.9319031858727481, 0.9117660383362616, 0.8641395735941773, 0.7863252197259478]"
595,"[7456, 499, 5955, 3882, 6065, 5979, 2089, 1643, 612, 1401]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9778783606438706, 0.960059073968112, 0.9485420963279245, 0.9050306703849511, 0.8329581021588854, 0.8155211879170787, 0.7767236205388711, 0.67140587722377, 0.6396535473476914, 0.5536429376016551]"
596,"[6475, 6827, 8486, 6239, 4860, 5057, 9085, 9822, 7830, 2908]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9964057726876869, 0.9932291637528308, 0.9896096378112239, 0.9753210072389504, 0.9474490304542321, 0.9326512129137776, 0.9025530226802829, 0.8519560705297349, 0.8187090718866609, 0.8149305790479979]"
597,"[3993, 216, 9969, 144, 2563, 578, 6774, 7608, 6547, 8548]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9952307640625783, 0.9891867662276543, 0.9781712732784377, 0.9602692518571998, 0.9600324684860071, 0.9243047701799616, 0.9135705120892987, 0.867084166536929, 0.8246814957846034, 0.7828715849890115]"
598,"[7226, 2819, 4354, 6975, 1846, 1881, 1768, 5495, 7463, 8727]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987932885464297, 0.9966117970821611, 0.9909364474679263, 0.9796350045622064, 0.9722297320573128, 0.9400851418476311, 0.9393513876851557, 0.9259637864886728, 0.8820727261505434, 0.8621302560377802]"
599,"[450, 3661, 3575, 1614, 7578, 595, 6181, 1149, 6896, 5016]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9928308080503347, 0.9748333131419256, 0.9516720715884539, 0.912862566990817, 0.899679313943397, 0.890546530709849, 0.8763947860826145, 0.8418775265873422, 0.8339929133556032, 0.8080109471582048]"
600,"[7427, 1411, 6745, 7652, 8727, 5508, 8241, 6874, 7598, 2198]","[1, 1, -1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.9945418552535108, 0.9794583464958775, 0.9545424595802685, 0.9224231497224222, 0.8973766637585849, 0.8694494330394598, 0.8217487087068818, 0.7356875769837704, 0.7101238528064597, 0.6603155664312682]"
601,"[7111, 5746, 8423, 111, 9803, 8920, 2972, 2886, 7945, 8171]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9850156265967622, 0.9697681359621979, 0.9174321015434033, 0.8853359024454657, 0.842035901011949, 0.8289065865763878, 0.7709759268632529, 0.6903688210064749, 0.6453407993725989, 0.6094217774445703]"
602,"[9175, 2850, 3048, 1707, 5972, 5814, 4902, 2845, 1632, 8656]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.995181588839313, 0.984507892367295, 0.9735760394856356, 0.963785200941608, 0.9396379271967875, 0.9116074115102879, 0.8939620123855201, 0.8583106589558356, 0.7992468303329159, 0.743479612236146]"
603,"[84, 9966, 3364, 4790, 4057, 9399, 8243, 2525, 2823, 6381]","[1, -1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9880958777699348, 0.9844152909197447, 0.9840065490426924, 0.915906180686922, 0.8839834109041267, 0.8758624764466615, 0.8541457465709033, 0.8337671297816128, 0.7877123066231924, 0.7713836625739855]"
604,"[1788, 1373, 9717, 1931, 7801, 2782, 9526, 8525, 5897, 9916]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9952078751594327, 0.9820048286243072, 0.9662643068669974, 0.9602094972237015, 0.9484624136304312, 0.924046331003461, 0.8982245323852867, 0.8929070396252219, 0.8324596934770556, 0.793420077966018]"
605,"[8424, 6978, 3745, 1831, 8447, 9528, 9739, 6764, 6316, 2946]","[-1, 1, -1, 1, 1, 1, 1, -1, -1, 1]","[1.0, 0.9975938133879354, 0.9909896586908744, 0.9941949631339142, 0.9888332174569403, 0.9720981543323373, 0.9624742922398155, 0.9427733912870062, 0.9191709735658231, 0.8731663173052652, 0.8724041165601382]"
606,"[8585, 3818, 9958, 3502, 8904, 5152, 3482, 5731, 7192, 9525]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9780253146043741, 0.9762816696789305, 0.9501126428294723, 0.9209487215705823, 0.8593596168838151, 0.8140098512762188, 0.7058477583164288, 0.6684408230742059, 0.6367192423965535, 0.595113974714543]"
607,"[2682, 3421, 5382, 2328, 8309, 2364, 599, 5582, 261, 4570]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9987932868018252, 0.9969714955072585, 0.9941465355935927, 0.987529254978984, 0.9749334422438984, 0.9635283323773858, 0.963528332378905, 0.9373091745293485, 0.9092845182883993, 0.8813515841089579]"
608,"[7794, 3666, 2274, 4523, 9026, 5642, 7582, 617, 1497, 8433]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9897990738029032, 0.9707954941478784, 0.9604805658426929, 0.9344919597282793, 0.9252176196922197, 0.8374621300160249, 0.77765664752342, 0.7423181734375592, 0.7058803086592073, 0.6777543209875693]"
609,"[4482, 3792, 8064, 7150, 2655, 3010, 9034, 1633, 5422, 3687]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.996351120767961, 0.9892265252010268, 0.9831520522604176, 0.9753441624634052, 0.9748415629287213, 0.9655255759041641, 0.9496673664466035, 0.9496673664469635, 0.8743950805660972, 0.8581873674059204]"
610,"[1536, 1665, 1772, 3286, 8920, 120, 4008, 3605, 4127, 2566]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987673513107643, 0.9969405256842576, 0.9944661466251048, 0.9811816523863424, 0.9777504360235332, 0.9535966869907355, 0.9215276415091329, 0.8661854484737515, 0.8241443576530821, 0.7463110103739059]"
611,"[9595, 5988, 7456, 9471, 7662, 7721, 4685, 9648, 890, 8100]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9921633808738399, 0.9937800372232404, 0.9504027903347323, 0.8857089616191369, 0.8691078675697657, 0.8223416417323558, 0.8056939626205968, 0.7587203752970624, 0.7244227116803637, 0.6477053599645047]"
