run,indices,signs,results
34,"[3115, 732, 3302, 9563, 9954, 5278, 8609, 8731, 2105, 3570]","[1, -1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987961764439686, 0.9922106616515887, 0.988270314335328, 0.9712699127333122, 0.918011067262547, 0.9063822636874719, 0.8989888667972668, 0.8730282574034545, 0.8128107054255009, 0.7858283964579872]"
35,"[8224, 9729, 4542, 8199, 5168, 1115, 4457, 7508, 6078, 9594]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9940069029961119, 0.984332788048387, 0.9653944028027405, 0.953125540493276, 0.93990843376687, 0.919552635481611, 0.9126948812756075, 0.8584048693046447, 0.8293638509534783, 0.7439174808141024]"
36,"[22, 6379, 4010, 6758, 5198, 7449, 7398, 5426, 5299, 6773]","[1, -1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9879903511660469, 0.9850466717840012, 0.9727735644701769, 0.9466593027927975, 0.9104059779765095, 0.8965409128448161, 0.8782899889231854, 0.8405422838327934, 0.8025384693576265, 0.762524670863421]"
37,"[4390, 1835, 3774, 5991, 9434, 8097, 5095, 3370, 4842, 9432]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9797717486951258, 0.9632969865385443, 0.9362702298876027, 0.8963126296839736, 0.8733729961031009, 0.8469183002140974, 0.7787310944153973, 0.696006667037111, 0.5527151559761226, 0.46204803714085974]"
38,"[2362, 6459, 7067, 651, 2212, 6684, 2978, 8136, 6660, 3196]","[1, 1, 1, 1, -1, 1, 1, 1, 1, -1]","[1.0, 0.9987817575939919, 0.9897770254181515, 0.9507267382115425, 0.910031492326709, 0.8484235605838174, 0.8334469473451653, 0.8079083610299289, 0.7347251853634182, 0.6631330694690404, 0.6062526742158869]"
39,"[687, 7970, 4813, 851, 8045, 5166, 7918, 3019, 2068, 290]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9897221974253392, 0.9818462412248296, 0.9513488586238438, 0.9018869357920775, 0.9070351988463325, 0.8852523716009963, 0.8403396665865186, 0.825226766443631, 0.7811928857350513, 0.7431365862008636]"
40,"[8679, 8108, 7764, 6175, 8125, 4695, 3407, 8073, 4031, 9154]","[1, 1, 1, 1, -1, -1, 1, 1, 1, 1]","[1.0, 0.9970016691655634, 0.9829569923017168, 0.9519185982590257, 0.940531412781668, 0.9085326369466412, 0.896068812939349, 0.8379984834832632, 0.8096718233254062, 0.7535302584620445, 0.6977667311054295]"
41,"[8379, 1166, 762, 88, 591, 6205, 4217, 1071, 963, 7865]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9999999999994806, 0.9921018095384927, 0.9701499385282892, 0.9699197906445034, 0.9596047191227417, 0.9400185728663747, 0.8988490562916909, 0.8841643532812874, 0.8426688429687701, 0.7864792506022689]"
42,"[1680, 4596, 2558, 1791, 2871, 2924, 9544, 7250, 9370, 3452]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9940127501395183, 0.9636978283375452, 0.9453130423589606, 0.894165758288829, 0.8420194195075579, 0.7608321211452025, 0.7371138434252261, 0.7259097508872263, 0.6824951290487989, 0.6060669975919485]"
43,"[2590, 3073, 7781, 5176, 7929, 1245, 4641, 6560, 1685, 4234]","[1, 1, -1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.996962825862448, 0.9802320710511869, 0.9773444546969672, 0.962230643335414, 0.9496485937841384, 0.9378033980321435, 0.913069299704064, 0.8732634215541553, 0.8246994855301495, 0.787044981976183]"
44,"[2717, 8415, 5482, 4587, 8977, 3867, 7582, 3023, 860, 5137]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9880081242311329, 0.9800517529510904, 0.968219582197879, 0.9352721892550817, 0.9203980815311685, 0.9097983538165024, 0.8630606420230699, 0.7929748152611129, 0.7523490626132476, 0.698565426048852]"
45,"[9153, 1315, 5919, 153, 4394, 3866, 5905, 5573, 2829, 7456]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9969929915418243, 0.9970165669816643, 0.9969668958914335, 0.9763058827754267, 0.958845480296738, 0.9136543099677987, 0.8746746955317015, 0.8394270596970224, 0.7163453118758705, 0.5808859833960563]"
46,"[7074, 4834, 1788, 7441, 65, 1602, 7601, 2799, 9201, 3285]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9874261719068244, 0.9749738895386746, 0.9495773341126896, 0.9489221856780667, 0.9134137083690463, 0.8655155313012088, 0.8120585571527301, 0.7663800506799934, 0.7261434454792306, 0.6528229285749265]"
47,"[1986, 1452, 1298, 6335, 5568, 480, 9649, 595, 2975, 7291]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9934148074834306, 0.9736542880168597, 0.9337750458550231, 0.8675911022364385, 0.7924227132209889, 0.7328952122364542, 0.6564257702291018, 0.6557339700174702, 0.643281675886135, 0.6219511163635337]"
