run,indices,signs,weights,results
87,"[991, 66, 812, 297, 569, 134, 890, 921, 829, 37]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0766913163795715, 1.1639941131100415, 1.2444938162304224, 1.3045892310083218, 1.3918481669860356, 1.477957360380431, 1.5563856344586586, 1.6347923141220566, 1.7478070439859874, 1.827356323559365]"
88,"[799, 962, 594, 733, 573, 699, 457, 930, 169, 757]","[1, 1, 1, 1, 1, -1, 1, 1, 1, -1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, 2.200469068654355]","[1, 1.0788510701201934, 1.1573628754357066, 1.2417760660260968, 1.3295651029622026, 1.422702423343545, -1.5229696344776253, -1.6066410903878072, -1.6483832060921109, -1.738909022377776, 1.864342008255633]"
89,"[279, 721, 568, 910, 626, 145, 751, 976, 520, 195]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0775871966129247, 1.154909654009863, 1.2414873691885795, 1.3164873788895688, 1.4139655162182667, 1.4907313600493373, 1.5604360171187113, 1.6569406106555893, 1.7317498249754222, 1.81447325139687]"
90,"[905, 882, 540, 652, 844, 813, 337, 716, 230, 34]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0783610627665146, 1.158152970857978, 1.2424258622357605, 1.330678608939122, 1.4222958002460488, 1.5222664544764917, 1.5934493994570795, 1.6595826373175848, -1.7210386169788559, -1.7706891910173863]"
91,"[65, 567, 549, 236, 721, 608, 860, 512, 254, 523]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0785360428193027, 1.157825501496836, 1.2400409508880166, 1.333597752170451, 1.4164819465540694, -1.4949719003420416, -1.581056627930197, -1.670249656194654, -1.7103561566376972, -1.703060791681768]"
92,"[900, 799, 243, 166, 382, 718, 952, 754, 262, 120]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.072379178489943, 1.1604046085643374, 1.2419764324529161, 1.326181452970333, 1.414528315509121, 1.5183730449372994, 1.6150651475179303, 1.692244924355314, 1.741141512787231, 1.757382478290813]"
93,"[156, 218, 135, 681, 880, 446, 528, 658, 773, 34]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0777677075241674, 1.160026412882587, 1.2421404018721487, 1.3290187478419204, 1.4134035268778002, 1.4984758457163199, 1.5926406678430578, 1.6698021049545089, 1.7191831971165712, 1.7911015052532384]"
94,"[38, 213, 225, 393, 637, 913, 937, 111, 386, 621]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0796590371174086, 1.1641179146246041, 1.2494127922019658, 1.3300106604138553, 1.4082742000233202, 1.4842121332282872, 1.5550889873172138, 1.6278827529253952, 1.728270689365036, 1.8010491114711487]"
95,"[876, 732, 126, 399, 301, 415, 501, 241, 29, 637]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.078358113527772, 1.160631045919729, 1.2384965261958192, 1.3275069402413273, 1.4168716150670952, 1.5050848875652647, 1.5831710590713453, 1.6507413479781476, 1.7149105824303268, 1.8064327714413673]"
96,"[400, 221, 722, 970, 695, 479, 290, 0, 431, 367]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0795612485125359, 1.1603378907681172, 1.241289611407706, 1.3281341213528841, 1.4070728678587148, 1.4884578009916523, 1.5492551187298735, 1.633605063334003, 1.7232254253229529, 1.827315823757528]"
97,"[433, 837, 294, 326, 351, 470, 282, 346, 370, 340]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.079225163795051, 1.161716710746829, 1.245976459096377, 1.3234437146280749, 1.3936728947791175, 1.465584079104137, 1.5391543090047939, 1.6276506887209425, 1.7818002368155492, 1.9110684452748856]"
98,"[497, 452, 48, 635, 216, 917, 509, 149, 41, 492]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0692740428332972, 1.1448302858284936, 1.223668133691316, 1.3089210289916673, 1.3919434458414748, 1.4899153708184776, 1.5877958601968363, 1.6860147426029133, 1.7167682470752648, 1.7476821107683989]"
99,"[634, 450, 652, 863, 720, 288, 552, 936, 333, 850]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.077693454308432, 1.1600732964907496, 1.248553184970892, 1.3331025234860785, 1.4217729013113252, 1.5026724977381574, 1.560119603442384, 1.6377413413286073, 1.686008503418595, 1.772741916424637]"
100,"[306, 586, 354, 267, 68, 272, 545, 225, 175, 882]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0783766125413168, 1.1607796170638551, 1.2441952622320311, -1.3324227853086341, -1.4242951674343676, -1.5087766756023988, -1.615302952297662, -1.7111016319357364, -1.8448143573116818, -1.9891154678411906]"
