run,indices,signs,weights,results
261,"[2285, 5561, 2939, 5410, 2383, 517, 2757, 2370, 4059, 500]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, -1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.079409811202078, 1.163076563001265, -1.252248465023525, -1.3443238237277622, -1.4376225679509274, -1.5247888243521523, -1.5722449345794218, -1.618498695504525, -1.6739141197559306, -1.771958322144004]"
262,"[1313, 2411, 7250, 4960, 4899, 5619, 576, 7984, 3118, 3724]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0790773114688492, 1.1614633735594264, 1.2431481609500932, 1.319963815780115, 1.407658958262451, 1.499066009099224, 1.5829826155108686, 1.7003000835311273, 1.7387006882949165, 1.806866872758805]"
263,"[520, 5368, 6277, 2274, 5761, 5592, 7040, 1983, 7376, 4188]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0802146554455831, 1.1660074244489471, 1.253493956867923, 1.3331828839962283, 1.3991983485207005, 1.4598430358232468, 1.5024103936759619, 1.520726178850694, -1.571356585193002, -1.578648021045744]"
264,"[8192, 4842, 6141, 3677, 5785, 8152, 3391, 3294, 3823, 5664]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0721675179755645, 1.1567167717032691, 1.2483215108637633, 1.3301452572687382, 1.4006582499235893, 1.4693396715893048, 1.5294006936274023, 1.5561325695257298, 1.6047988298288407, 1.7494682583962147]"
265,"[7254, 6702, 4002, 6587, 6189, 6042, 6827, 5577, 4761, 5758]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0794441806208004, 1.1632188719529428, 1.2518203506358647, 1.3423893551062285, 1.4274937816146636, 1.500297333302804, 1.5729407245568217, 1.6138745478965884, 1.6797842687815843, 1.7333924346091463]"
266,"[2283, 3416, 960, 452, 7788, 276, 256, 6651, 5855, 2842]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0797336435105946, 1.1639943906770744, 1.2485259925915857, 1.3326283346807817, 1.4109365680778236, 1.4926486906411576, 1.5896850533058176, 1.7002045797704908, 1.7610503247567828, 1.8787566031241338]"
267,"[5535, 6687, 4546, 954, 6169, 948, 1312, 3779, 4436, 6667]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0779227118047514, 1.1599785511667877, 1.2470419668116652, 1.3322221401644345, 1.4076577578136233, -1.4736494251551167, -1.536999608128684, -1.715260458612807, -1.7979309877726046, -1.7320036333860804]"
268,"[4720, 7077, 3959, 7806, 3727, 7388, 7293, 3023, 4734, 1685]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, -2.200469068654355]","[1, 1.0782718297928162, 1.1579120274108965, 1.243452750299451, 1.3242493535406812, 1.4046032310517533, 1.4791112216084643, 1.5593798138133361, 1.6444781680855844, 1.7189482547556738, -1.8117808412240075]"
269,"[4036, 3207, 6487, 838, 8060, 4542, 63, 6500, 4345, 2259]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0801339995856443, 1.1627597583024762, 1.2464079321525847, 1.3370378430095833, 1.413533757347566, 1.4838898386615393, 1.5721785017680754, 1.652376399083366, 1.7535134035276434, 1.8536489576748714]"
270,"[3580, 2542, 1891, 1466, 3296, 4988, 7136, 6764, 2599, 5977]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.079257745118035, 1.160790607259726, 1.2525647875749595, 1.3345609509285072, 1.4114020059511498, 1.4740477303638626, 1.5438786783226817, 1.6159581228239204, 1.6682536714989302, 1.771026411744232]"
271,"[5679, 1172, 2933, 700, 3265, 3646, 5553, 5824, 1755, 3725]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.076411854672043, 1.1535706309265739, 1.2313999559148034, 1.3077541031809643, 1.383833086584131, 1.4545751498682564, 1.5428915888210433, 1.6282634406981402, -1.7114703510713112, -1.8158181879516417]"
272,"[4754, 6635, 5155, 5575, 3454, 870, 4566, 1937, 5983, 6648]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0789667144699677, 1.1605466415523333, 1.241588190397473, 1.3213008938238875, 1.3858636612460242, 1.4768555712864646, 1.5544334568844194, 1.6026751083572193, 1.668204966430554, 1.747260256063714]"
273,"[7938, 749, 5794, 5390, 153, 7399, 1340, 393, 7215, 7366]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0786254596427876, 1.1572088407469738, 1.2443151487528743, 1.329026288759022, 1.4089873604517247, 1.4867247703858562, 1.552293394369623, 1.6265442019661034, 1.6813029255994678, 1.7689716536967883]"
274,"[2024, 3193, 3440, 8057, 521, 4980, 81, 5607, 1661, 2617]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0769481178459088, 1.1494147201995715, 1.231197212884073, -1.3148024609712283, -1.4016271800274367, -1.4878703710920183, -1.5822438637618659, -1.686502760089661, -1.7632861330026655, -1.8455234114920827]"
275,"[7505, 488, 3795, 3116, 1363, 5145, 538, 747, 1244, 741]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0796914742404988, 1.1658841112290792, 1.2536068801275717, 1.3453789349658458, 1.4311100010592221, 1.520154021720711, 1.5895608338583034, 1.6653830153727616, 1.7646405305821606, 1.8585033334914827]"
276,"[4444, 5642, 2061, 1418, 6388, 3058, 7489, 6547, 3435, 7572]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0765576267652857, 1.1575634993958015, 1.242637409735174, 1.3260582132081002, 1.40803455487567, 1.4898402440479845, 1.5609058880652433, 1.6467562229595611, 1.7560624143467176, 1.8700596364111275]"
